RowId,Time,LatitudeDegrees,LongitudeDegrees,DistanceMeters,AltitudeMeters,HeartRate,Cadence,Watts,Speed
1,2020/2/12 9:46,51.45588,-0.220101,,38.4,85,24,62,
2,2020/2/12 9:46,51.455871,-0.22007,,38.4,86,24,62,
3,2020/2/12 9:46,51.455862,-0.220037,,38.4,86,24,110,
4,2020/2/12 9:46,51.455855,-0.220002,,38.4,88,24,132,
5,2020/2/12 9:46,51.45585,-0.219967,,38.4,88,31,132,
6,2020/2/12 9:46,51.455846,-0.219927,,39,88,31,83,
7,2020/2/12 9:46,51.455845,-0.219888,,39,89,32,83,
8,2020/2/12 9:46,51.455843,-0.219843,,39,89,34,87,
9,2020/2/12 9:46,51.455839,-0.219799,,39.2,89,34,105,
10,2020/2/12 9:46,51.455833,-0.219758,,39.2,90,36,105,
11,2020/2/12 9:46,51.455827,-0.219714,,39.2,90,36,61,
12,2020/2/12 9:46,51.455821,-0.219678,,39.2,90,37,61,
13,2020/2/12 9:46,51.455814,-0.219644,,39.2,90,37,0,
14,2020/2/12 9:46,51.45581,-0.219611,,39.2,88,0,0,
15,2020/2/12 9:46,51.45581,-0.219579,,39.2,87,17,0,
16,2020/2/12 9:46,51.455808,-0.219555,,39.2,86,17,0,
17,2020/2/12 9:46,51.455806,-0.21953,,39.4,86,17,0,
18,2020/2/12 9:46,51.455804,-0.219492,,39.4,86,22,24,
19,2020/2/12 9:46,51.455798,-0.219467,,39.4,86,22,0,
20,2020/2/12 9:46,51.455799,-0.219442,,39.4,86,22,0,
21,2020/2/12 9:46,51.455812,-0.21942,,39.6,94,0,0,
22,2020/2/12 9:46,51.455829,-0.219405,,39.8,94,0,0,
23,2020/2/12 9:46,51.455851,-0.219394,,39.6,94,0,0,
24,2020/2/12 9:46,51.45588,-0.21938,,39.6,94,0,0,
25,2020/2/12 9:46,51.455914,-0.219361,,39.6,94,22,132,
26,2020/2/12 9:46,51.455954,-0.219335,,39.4,96,54,321,
27,2020/2/12 9:46,51.456,-0.219305,,39.4,97,66,270,
28,2020/2/12 9:47,51.456053,-0.21927,,39,98,74,90,
29,2020/2/12 9:47,51.456115,-0.219237,,39,98,74,75,
30,2020/2/12 9:47,51.456179,-0.219203,,38.4,98,75,75,
31,2020/2/12 9:47,51.456246,-0.219166,,38,98,75,51,
32,2020/2/12 9:47,51.456318,-0.219131,,37.8,98,78,51,
33,2020/2/12 9:47,51.45639,-0.219091,,37.6,98,78,0,
34,2020/2/12 9:47,51.456463,-0.219053,,37.4,98,78,0,
35,2020/2/12 9:47,51.456538,-0.219016,,37.2,98,0,0,
36,2020/2/12 9:47,51.456613,-0.218979,,36.6,98,0,0,
37,2020/2/12 9:47,51.456685,-0.218945,,36.2,98,0,0,
38,2020/2/12 9:47,51.456754,-0.218917,,35.6,98,0,0,
39,2020/2/12 9:47,51.45682,-0.218894,,35,98,0,0,
40,2020/2/12 9:47,51.456873,-0.218876,,34.6,98,0,0,
41,2020/2/12 9:47,51.456913,-0.218861,,34.4,95,0,0,
42,2020/2/12 9:47,51.456949,-0.218854,,34.2,93,0,0,
43,2020/2/12 9:47,51.456971,-0.218845,,34,90,0,0,
44,2020/2/12 9:47,51.456986,-0.218837,,34,90,0,0,
45,2020/2/12 9:47,51.457003,-0.218837,,34,90,11,8,
46,2020/2/12 9:47,51.457026,-0.218859,,34,88,11,257,
47,2020/2/12 9:47,51.457044,-0.218894,,34.2,87,32,257,
48,2020/2/12 9:47,51.457072,-0.218997,,34.4,87,45,274,
49,2020/2/12 9:47,51.45709,-0.219105,,34.4,87,45,354,
50,2020/2/12 9:47,51.457105,-0.219211,,34.4,91,45,354,
